Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_142678137,1 Bed,1 Bath,,"('429 Sqft', ' sqft')",Residential,"220,000 ",Mexico
l_155850996,3 Beds,3 Baths,0.04 ac Lot Size,"('1,507 Sqft', ' sqft')",Residential,"386,820.881093 ",Mexico
l_154700035,2 Beds,2 Baths,0.099 ac Lot Size,"('2,260 Sqft', ' sqft')",Residential,"329,900 ",Mexico
l_156835581,3 Beds,2 Baths,0.124 ac Lot Size,"('2,497.23 Sqft', ' sqft')",Residential,"519,000 ",Mexico
l_157617980,1 Bed,1 Bath,,"('506 Sqft', ' sqft')",Residential,"122,941 ",Mexico
l_152747812,3 Beds,3 Baths,0.138 ac Lot Size,"('3,552.09 Sqft', ' sqft')",Residential,0.000000 ,Mexico
l_153555338,2 Beds,2 Baths,,"('3,097 Sqft', ' sqft')",Residential,"483,600 ",Mexico
l_152765785,1 Bed,1 Bath,,"('519 Sqft', ' sqft')",Residential,"275,000 ",Mexico
l_136219268,3 Beds,2 Baths,,,Residential,"223,525 ",Mexico
l_160034305,3 Beds,4 Baths,,"('3,013.89 Sqft', ' sqft')",Residential,"749,000 ",Mexico
l_99423313,3 Beds,2 Baths,,,Condominium,"559,000 ",Mexico
l_157602908,3 Beds,3 Baths,0.261 ac Lot Size,"('2,625.44 Sqft', ' sqft')",Residential,"1,750,000 ",Mexico
l_155790766,2 Beds,2 Baths,,"('1,100 Sqft', ' sqft')",Residential,"279,000 ",Mexico
l_136059385,3 Beds,3 Baths,,"('2,794.2 Sqft', ' sqft')",Residential,"391,800  91.7",Mexico
l_148193303,2 Beds,2 Baths,,"('1,679.17 Sqft', ' sqft')",Residential,"295,000 ",Mexico
l_156690394,,,9.048 ac Lot Size,,Lots and Land,"1,990,000 ",Mexico
l_144789134,,,,"('8,928.88 Sqft', ' sqft')",Residential,"840,000 ",Mexico
l_153505459,1 Bed,1 Bath,,"('537 Sqft', ' sqft')",Residential,"122,000 ",Mexico
l_153505435,1 Bed,1 Bath,,"('495 Sqft', ' sqft')",Residential,"140,000 ",Mexico
l_154415925,5 Beds,6 Baths,0.218 ac Lot Size,"('6,415.29 Sqft', ' sqft')",Residential,0.000000 ,Mexico
l_157861176,2 Beds,2 Baths,0.031 ac Lot Size,"('1,054.48 Sqft', ' sqft')",Condominium,"680,549 ",Mexico
l_157304714,3 Beds,3 Baths,,"('2,368.06 Sqft', ' sqft')",Residential,"749,000 ",Mexico
l_140291948,3 Beds,2 Baths,,"('1,825 Sqft', ' sqft')",Residential,"715,000 ",Mexico
